iter	Passed	Remaining
346	58008	42294
347	58129	42093
348	58243	41888
349	58362	41687
350	58494	41496
351	58651	41322
352	58776	41126
353	58910	40938
354	59045	40749
355	59290	40637
356	59488	40492
357	59645	40319
358	59819	40157
359	59952	39968
360	60160	39829
361	60299	39644
362	60426	39451
363	60574	39273
364	60744	39109
365	60856	38907
366	60962	38703
367	61067	38499
368	61226	38328
369	61369	38148
370	61533	37981
371	61662	37793
372	61792	37605
373	61926	37421
374	62064	37238
375	62207	37059
376	62316	36860
377	62430	36665
378	62528	36461
379	62627	36257
380	62789	36091
381	62947	35923
382	63079	35739
383	63360	35640
384	63520	35472
385	63672	35300
386	63852	35143
387	64004	34971
388	64191	34818
389	64404	34679
390	64606	34533
391	64777	34371
392	65074	34275
393	65337	34161
394	65743	34119
395	65988	33994
396	66257	33879
397	66508	33755
398	66730	33616
399	66972	33486
400	67230	33363
401	67457	33225
402	67691	33089
403	67885	32934
404	68120	32798
405	68411	32689
406	68630	32544
407	68884	32416
408	69099	32269
409	69339	32132
410	69545	31980
411	69784	31843
412	70018	31703
413	70241	31557
414	70469	31414
415	70698	31270
416	70902	31115
417	71105	30959
418	71337	30816
419	71578	30676
420	71804	30529
421	72036	30384
422	72236	30226
423	72464	30079
424	72706	29937
425	72795	29733
426	72879	29527
427	72977	29327
428	73101	29138
429	73188	28934
430	73267	28729
431	73385	28538
432	73525	28357
433	73644	28168
434	73784	27987
435	73874	27787
436	74009	27605
437	74136	27420
438	74265	27236
439	74448	27072
440	74571	26886
441	74673	26693
442	74811	26513
443	74912	26320
444	75015	26128
445	75117	25937
446	75262	25760
447	75404	25583
448	75505	25392
449	75721	25240
450	75902	25076
451	76051	24901
452	76190	24723
453	76317	24542
454	76463	24367
455	76657	24207
456	76808	24034
457	76988	23869
458	77095	23682
459	77215	23500
460	77329	23316
461	77458	23136
462	77585	22957
463	77736	22784
464	77893	22614
465	78005	22430
466	78114	22246
467	78244	22069
468	78416	21903
469	78581	21735
470	78683	21550
471	78848	21382
472	79016	21215
473	79167	21044
474	79292	20866
475	79449	20696
476	79640	20536
477	79777	20361
478	79945	20195
479	80084	20021
480	80222	19847
481	80347	19670
482	80579	19519
483	80694	19339
484	80824	19164
485	80988	18997
486	81105	18819
487	81226	18642
488	81345	18465
489	81462	18287
490	81630	18121
491	81792	17954
492	81895	17774
493	82050	17605
494	82208	17438
495	82314	17259
496	82461	17089
497	82590	16916
498	82719	16742
499	82824	16564
500	83008	16402
501	83141	16230
502	83257	16055
503	83395	15884
504	83512	15710
505	83625	15535
506	83766	15365
507	83882	15191
508	84041	15025
509	84174	14854
510	84318	14685
511	84448	14514
512	84547	14338
513	84691	14170
514	84819	13999
515	84974	13833
516	85149	13670
517	85254	13495
518	85374	13324
519	85471	13149
520	85654	12987
521	85778	12817
522	85921	12649
523	86076	12484
524	86201	12314
525	86306	12142
526	86427	11971
527	86570	11805
528	86739	11641
529	86885	11475
530	87030	11309
531	87179	11143
532	87294	10973
533	87448	10808
534	87571	10639
535	87706	10472
536	87908	10313
537	88049	10146
538	88188	9980
539	88336	9815
540	88486	9650
541	88601	9481
542	88704	9311
543	88823	9143
544	88912	8972
545	89009	8803
546	89157	8638
547	89286	8472
548	89422	8306
549	89524	8138
550	89709	7977
551	89825	7810
552	89961	7645
553	90103	7481
554	90192	7312
555	90288	7145
556	90422	6980
557	90562	6816
558	90671	6650
559	90768	6483
560	90859	6316
561	90980	6151
562	91082	5985
563	91161	5818
564	91264	5653
565	91395	5490
566	91491	5324
567	91565	5158
568	91631	4992
569	91711	4826
570	91798	4662
571	91871	4497
572	91931	4331
573	91988	4166
574	92047	4002
575	92117	3838
576	92234	3676
577	92321	3513
578	92388	3350
579	92460	3188
580	92535	3026
581	92599	2863
582	92666	2702
583	92731	2540
584	92787	2379
585	92850	2218
586	92918	2057
587	92996	1897
588	93055	1737
589	93120	1578
590	93181	1419
591	93245	1260
592	93297	1101
593	93337	942
594	93397	784
595	93447	627
596	93485	469
597	93528	312
598	93564	156
599	93598	0
0
8	0
87750	0
