iter	Logloss
230	0.1745862611
231	0.1743804341
232	0.1742834241
233	0.1739300012
234	0.173845578
235	0.1737805945
236	0.1734886845
237	0.1729840945
238	0.1726828293
239	0.1722262351
240	0.1719996857
241	0.1716152171
242	0.1715374205
243	0.1710664539
244	0.1708410614
245	0.1703389737
246	0.1699680852
247	0.1697777998
248	0.1697037252
249	0.1695615739
250	0.1691077711
251	0.1687255407
252	0.168278025
253	0.1677327323
254	0.1673025564
255	0.1672199691
256	0.1670481427
257	0.1666824096
258	0.166177983
259	0.1657804121
260	0.1654912055
261	0.1652458452
262	0.1648436972
263	0.1646154755
264	0.164306276
265	0.1638977529
266	0.1634453584
267	0.1631056287
268	0.1629488536
269	0.1626297708
270	0.1621963382
271	0.161870767
272	0.1613993855
273	0.1612122437
274	0.1607742592
275	0.1604130528
276	0.160071173
277	0.1597734914
278	0.1597099414
279	0.1593479428
280	0.1592076902
281	0.1590415977
282	0.1586660315
283	0.1579929473
284	0.1578007632
285	0.1574946067
286	0.1573273195
287	0.1571112823
288	0.1566504882
289	0.1562704205
290	0.1561192032
291	0.1559467858
292	0.1556033467
293	0.1553607653
294	0.155061009
295	0.154998138
296	0.1547808056
297	0.1543134981
298	0.1538492839
299	0.1536037726
300	0.1530927824
301	0.1528513955
302	0.1528060027
303	0.1524492098
304	0.1521266313
305	0.1520910715
306	0.1519947028
307	0.1517077471
308	0.1512984066
309	0.1510087726
310	0.1505943773
311	0.1504425313
312	0.1501884068
313	0.1497635246
314	0.1493750573
315	0.1490322596
316	0.1488745791
317	0.1485155606
318	0.1481994453
319	0.1479683944
320	0.1475701821
321	0.1472668296
322	0.1470047582
323	0.146605037
324	0.1462437426
325	0.1462131244
326	0.1458692201
327	0.1455633653
328	0.1452506827
329	0.1449930123
330	0.1446647125
331	0.1445862998
332	0.1441955818
333	0.1439227594
334	0.1437291545
335	0.1434725528
336	0.1429641529
337	0.1427715162
338	0.1426025692
339	0.1422956079
340	0.1420708693
341	0.1417750864
342	0.1415137192
343	0.1412827814
344	0.140893346
345	0.140516799
346	0.1402352502
347	0.1401931266
348	0.1400865728
349	0.1399354561
350	0.1397451331
351	0.1397050088
352	0.1394546188
353	0.13909809
354	0.1387670617
355	0.1384478028
356	0.1382452576
357	0.1379344989
358	0.1376223947
359	0.1374973695
360	0.1372648851
361	0.1371743132
362	0.1368643341
363	0.1363864894
364	0.1360658348
365	0.135999267
366	0.1359725217
367	0.1356186837
368	0.1352396723
369	0.1351775557
370	0.1349787325
371	0.1344728222
372	0.1341023989
373	0.1339724697
374	0.1336579136
375	0.1335940744
376	0.1331452761
377	0.1327002376
378	0.1323695487
379	0.132177503
380	0.1318554024
381	0.1315447945
382	0.1311933457
383	0.1308954881
384	0.1307900786
385	0.13055518
386	0.1301587658
387	0.1301272801
388	0.129791461
389	0.1295048698
390	0.1294173157
391	0.1290411208
392	0.128680694
393	0.1282094257
394	0.1278939894
395	0.1275348074
396	0.1272573954
397	0.1270303683
398	0.1267108454
399	0.1264270206
400	0.1262926275
401	0.1259626932
402	0.1257375773
403	0.1254922547
404	0.1253739315
405	0.1251858969
406	0.1251313249
407	0.1247151441
408	0.1245562566
409	0.1242900356
410	0.1241525871
411	0.1238677941
412	0.1235860566
413	0.1234483817
414	0.1232537457
415	0.1230653842
416	0.1229881786
417	0.1225695962
418	0.1223232048
419	0.1219709512
420	0.1217856075
421	0.1214872972
422	0.1211697736
423	0.121068237
424	0.1208927892
425	0.1208534822
426	0.1205511734
427	0.1203324829
428	0.1200970436
429	0.1197396346
430	0.1194308626
431	0.1192494421
432	0.118811005
433	0.1185050244
434	0.1183868521
435	0.1180507187
436	0.1177351315
437	0.1176562409
438	0.1173078854
439	0.1171643258
440	0.1169292637
441	0.1168715984
442	0.1167127234
443	0.1164689097
444	0.1161717437
445	0.1159699907
446	0.1158659518
447	0.1157767253
448	0.1155742304
449	0.1153423874
450	0.1153168366
451	0.1150252158
452	0.1147380966
453	0.1146883153
454	0.1144497702
455	0.1142032908
456	0.1140362426
457	0.1138268822
458	0.1136457634
459	0.1134787026
460	0.1132557118
461	0.1130132938
462	0.1127124184
463	0.1125099613
464	0.1122164166
465	0.1121595561
466	0.1120247607
467	0.1117932194
468	0.1115716369
469	0.1113039825
470	0.1110765907
471	0.1107974561
472	0.1106825908
473	0.1104769273
474	0.1104356084
475	0.1102888298
476	0.1099443974
477	0.1097253297
478	0.1095178932
479	0.109347714
480	0.109065046
481	0.1086612634
482	0.1083821791
483	0.1082578957
484	0.108053829
485	0.1078787208
486	0.1076388302
487	0.1073566652
488	0.1071299776
489	0.1070804352
490	0.106944898
491	0.1068096247
492	0.1067402529
493	0.1065614729
494	0.1064557617
495	0.1061970978
496	0.1059911199
497	0.1058348478
498	0.1055998612
499	0.1054564713
500	0.1053249138
501	0.1050409506
502	0.1050268613
503	0.1048633338
504	0.1047250239
505	0.1046551491
506	0.104501593
507	0.1043642953
508	0.1041459318
509	0.1039477562
510	0.103688998
511	0.1035856884
512	0.1032345037
513	0.1030910069
514	0.1029321571
515	0.1026744992
516	0.1025712336
517	0.1023749063
518	0.1020802363
519	0.1018343353
520	0.1016317335
521	0.1013901958
522	0.1011613328
523	0.100835573
524	0.1005835547
525	0.1004548641
526	0.1002996419
527	0.09997659816
528	0.09961981158
529	0.09947637142
530	0.09937216905
531	0.09919043416
532	0.09917364132
533	0.09910084929
534	0.09888386265
535	0.09866990638
536	0.09852454866
537	0.0983843715
538	0.09820484968
539	0.09798922733
540	0.09796113657
541	0.0978386073
542	0.09760733637
543	0.09752625794
544	0.09740711742
545	0.09726895213
546	0.09707915719
547	0.09683880769
548	0.09668620722
549	0.09657705061
550	0.09636893506
551	0.09629501764
552	0.09607901178
553	0.09587058188
554	0.0957239353
555	0.09544432286
556	0.09521882977
557	0.09506198551
558	0.09501945329
559	0.09483253784
560	0.09465697689
561	0.09443849391
562	0.09423875907
563	0.09402900888
564	0.09375110653
565	0.09363986889
566	0.09356636641
567	0.09331688804
568	0.09323514947
569	0.09298039622
570	0.09281496379
571	0.09265619568
572	0.09242084442
573	0.09240124124
574	0.09230298646
575	0.09214561409
576	0.09198397906
577	0.09182858713
578	0.09156978499
579	0.09145834616
580	0.09131045473
581	0.09110085543
582	0.09088666654
583	0.09065186226
584	0.09052281327
585	0.09030571345
586	0.09010341976
587	0.09000078916
588	0.08980990026
589	0.08965271021
590	0.08958786507
591	0.089346868
592	0.08923146201
593	0.08913444579
594	0.08893889815
595	0.08878695154
596	0.08869395906
597	0.08856559537
598	0.08845189947
599	0.08833238172
8198121876
599	0.08183184579
